Name Equatorial Polar Luminosity
RS0001 41.28 72.24 3.984e-09
RS0002 42.10 75.96 9.161e-10
RS0003 38.04 73.50 5.157e-11
RS0004 38.51 73.11 3.151e-10
RS0005 38.32 74.38 6.469e-10
RS0006 40.06 74.25 2.409e-10
RS0007 41.55 68.82 1.047e-10
RS0008 39.44 72.50 8.148e-10
RS0009 41.14 71.91 7.452e-11
RS0010 158.15 127.54 1.765e-09
RS0011 157.30 126.40 2.275e-10
RS0012 158.45 126.75 8.735e-11
RS0013 158.22 128.13 4.101e-10
RS0014 263.90 172.20 5.089e-09
RS0015 274.87 170.87 6.970e-11
RS0016 252.52 173.94 2.749e-10
RS0017 284.42 172.82 6.002e-10
RS0018 276.77 172.30 2.970e-10
RS0019 272.24 170.74 1.865e-09
RS0020 277.03 173.40 8.648e-11
RS0021 267.10 172.02 1.056e-10
RS0022 252.68 171.13 7.051e-10
RS0023 179.46 127.34 3.986e-09
RS0024 176.37 122.06 2.177e-10
RS0025 182.27 125.61 1.692e-09
RS0026 182.56 136.49 4.956e-10
RS0027 184.75 118.24 2.915e-10
RS0028 187.87 130.55 2.533e-10
RS0029 175.60 132.10 1.122e-10
RS0030 177.99 130.40 4.582e-10
RS0031 175.88 116.90 4.225e-10
RS0032 176.62 132.42 4.150e-10
RS0033 175.06 135.49 6.101e-11
RS0034 178.91 123.02 2.544e-10
RS0035 185.31 127.26 2.378e-10
RS0036 175.69 134.00 7.333e-10
RS0037 176.97 128.95 3.520e-10
RS0038 176.87 126.03 1.401e-09
RS0039 185.08 127.27 1.049e-09
RS0040 179.57 122.21 1.957e-09
RS0041 181.53 127.56 1.955e-09
RS0042 175.76 131.92 8.527e-10
RS0043 174.61 136.24 1.418e-09
RS0044 189.43 121.07 1.942e-10
RS0045 180.01 116.96 4.610e-10
RS0046 169.94 128.58 4.510e-10
RS0047 171.42 126.53 1.818e-09
RS0048 175.56 130.86 8.663e-10
RS0049 176.96 123.77 1.059e-09
RS0050 230.45 23.09 3.934e-09
RS0051 219.86 24.62 7.263e-10
RS0052 217.46 22.19 8.346e-11
RS0053 217.16 21.77 3.425e-10
RS0054 225.85 23.16 1.510e-10
RS0055 227.57 23.17 9.504e-11
RS0056 219.48 27.92 6.093e-11
