Name Equatorial Polar PeakFlux(W)
SNe0001 99.53 65.28 1.138e-09
SNe0002 301.55 121.95 3.115e-08
SNe0003 301.00 71.04 1.026e-08
SNe0004 124.25 76.94 5.238e-09
SNe0005 250.17 31.22 3.084e-08
SNe0006 333.42 112.56 5.959e-09
SNe0007 115.72 116.28 1.251e-09
SNe0008 144.01 87.45 1.033e-07
SNe0009 81.84 109.28 3.196e-07
SNe0010 22.96 36.01 7.289e-07
SNe0011 150.33 160.79 9.117e-08
SNe0012 180.61 68.42 5.668e-09
SNe0013 292.86 92.12 1.201e-09
SNe0014 183.74 113.67 5.442e-08
SNe0015 339.96 64.23 1.065e-08
SNe0016 146.94 114.68 1.588e-05
SNe0017 172.15 61.54 2.335e-07
SNe0018 66.60 62.53 8.713e-09
SNe0019 216.72 111.02 4.128e-08
SNe0020 227.37 127.30 2.689e-09
SNe0021 307.07 52.11 5.495e-08
SNe0022 224.19 99.29 1.471e-09
SNe0023 326.79 66.26 5.011e-08
SNe0024 14.88 132.55 7.773e-08
SNe0025 65.47 88.36 5.259e-09
SNe0026 169.88 60.73 1.277e-08
SNe0027 204.41 82.98 8.164e-09
SNe0028 230.24 140.22 2.932e-05
SNe0029 12.10 102.28 1.328e-09
SNe0030 200.40 125.94 1.013e-08
SNe0031 279.28 160.58 1.948e-08
SNe0032 61.91 137.73 5.823e-09
SNe0033 51.96 128.73 5.638e-09
SNe0034 135.46 120.84 5.846e-09
SNe0035 179.63 139.11 1.035e-07
SNe0036 102.95 25.07 6.492e-08
SNe0037 314.96 81.31 3.876e-08
SNe0038 12.65 130.38 8.477e-10
SNe0039 218.83 111.41 4.209e-08
SNe0040 73.34 157.58 3.861e-09
SNe0041 143.97 92.74 6.340e-09
SNe0042 326.07 66.02 4.681e-08
SNe0043 10.62 123.20 6.866e-09
SNe0044 165.05 87.81 7.817e-09
SNe0045 265.66 97.26 1.218e-09
SNe0046 211.42 85.93 4.701e-09
SNe0047 283.67 121.97 5.057e-09
SNe0048 138.28 99.32 1.052e-08
SNe0049 149.27 78.31 9.721e-09
SNe0050 133.34 18.08 1.201e-09
SNe0051 17.77 43.33 6.264e-07
SNe0052 246.76 78.05 1.016e-09
SNe0053 139.09 69.54 4.441e-09
SNe0054 1.27 87.82 1.567e-08
SNe0055 315.43 91.26 4.556e-08
