Name Equatorial Polar PeakFlux(W)
SNe01 12.62 58.23 1.686e-09
SNe02 17.85 64.37 2.186e-08
SNe03 166.40 111.61 1.836e-08
SNe04 354.54 107.99 6.453e-09
SNe05 199.65 133.65 3.132e-09
SNe06 165.41 25.50 3.484e-08
SNe07 305.75 75.52 1.628e-09
SNe08 256.88 162.00 2.888e-08
SNe09 136.88 22.32 4.878e-05
SNe10 32.20 122.48 2.960e-09
SNe11 104.85 116.10 8.414e-09
SNe12 325.30 77.69 1.495e-09
SNe13 114.11 77.02 9.272e-09
SNe14 182.42 31.33 1.085e-08
SNe15 298.83 81.30 2.883e-09
SNe16 133.65 30.18 6.883e-09
SNe17 232.88 161.53 1.928e-09
SNe18 45.15 53.94 2.050e-09
SNe19 15.87 39.98 4.194e-08
SNe20 113.70 132.59 3.116e-09
SNe21 217.71 26.20 4.597e-08
SNe22 266.40 58.18 5.998e-08
SNe23 280.25 59.48 4.909e-09
SNe24 128.20 35.71 3.043e-08
SNe25 317.71 61.53 1.173e-08
SNe26 163.61 128.95 3.681e-08
SNe27 125.93 69.88 2.340e-08
SNe28 283.01 101.93 1.075e-09
SNe29 258.37 45.87 2.123e-09
SNe30 191.97 65.84 1.882e-08
SNe31 214.91 137.06 1.005e-09
SNe32 38.87 118.04 2.148e-07
SNe33 359.99 126.89 3.269e-08
SNe34 185.07 34.15 1.375e-08
SNe35 146.19 121.75 1.695e-09
SNe36 45.67 53.20 2.055e-09
SNe37 177.75 78.29 1.435e-05
SNe38 173.76 100.44 1.747e-08
SNe39 93.92 30.54 3.578e-09
SNe40 4.73 56.39 4.574e-09
SNe41 316.06 5.85 1.694e-09
SNe42 267.02 133.83 2.763e-09
SNe43 95.09 118.44 7.592e-09
SNe44 208.21 108.88 1.467e-09
SNe45 102.27 135.49 9.490e-10
SNe46 103.12 85.30 3.962e-09
SNe47 320.00 56.05 1.246e-08
SNe48 93.58 30.79 3.513e-09
SNe49 113.90 48.61 6.941e-09
SNe50 83.38 74.25 1.333e-08
SNe51 288.25 36.01 6.015e-08
SNe52 5.18 126.01 1.348e-07
SNe53 173.67 101.02 1.730e-08
SNe54 60.89 46.92 7.984e-09
SNe55 202.58 94.37 4.124e-09
