Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity
S00001 192.2392 127.6865 1.057e-16 1.260e-16 1.323e-16 0.0 -1.66
S00002 191.4008 128.0228 5.712e-14 5.026e-14 2.904e-14 0.0 -1.63
S00003 191.5412 128.3937 3.105e-15 2.728e-15 1.547e-15 0.001 -0.44
S00004 191.4764 127.834 3.981e-22 1.542e-21 1.890e-20 0.0 -0.39
S00005 191.8083 127.8799 1.855e-15 1.701e-15 1.029e-15 0.0 -0.0
S00006 191.9903 128.1868 7.825e-15 6.241e-15 2.858e-15 0.001 -0.8
S00007 191.5529 127.6703 1.156e-19 2.442e-19 8.173e-19 0.0 -1.6
S00008 191.2753 128.4156 1.303e-15 1.244e-15 7.922e-16 0.0 -1.7
S00009 191.1179 127.9137 4.528e-19 9.398e-19 3.088e-18 0.0 -2.19
S00010 190.9027 127.7972 9.110e-15 1.183e-14 1.427e-14 0.001 -1.03
S00011 191.546 128.2941 3.936e-17 4.702e-17 4.792e-17 0.001 -1.23
S00012 190.8545 127.8186 9.096e-21 2.457e-20 1.419e-19 0.0 -0.84
S00013 190.9617 128.4105 2.074e-14 2.080e-14 1.491e-14 0.0 -0.96
S00014 191.0521 127.974 3.386e-16 3.635e-16 3.077e-16 0.0 -0.48
S00015 191.0915 128.3121 2.636e-21 7.170e-21 4.220e-20 0.0 -1.5
S00016 191.3327 127.7281 1.061e-16 1.258e-16 1.299e-16 0.0 -0.81
S00017 191.4823 127.5906 1.524e-17 1.952e-17 2.407e-17 0.0 -1.99
S00018 191.1081 127.3704 1.161e-21 4.089e-21 3.980e-20 0.0 -1.41
S00019 191.638 128.5047 2.712e-21 7.232e-21 4.153e-20 0.0 -1.01
S00020 191.5312 127.9791 6.000e-17 7.549e-17 8.894e-17 0.0 -0.23
S00021 191.5428 127.7453 4.660e-17 6.260e-17 8.300e-17 0.0 -1.41
S00022 191.571 128.3187 1.338e-20 3.740e-20 2.247e-19 0.001 -0.38
S00023 191.4337 127.8654 1.510e-14 1.839e-14 1.976e-14 0.0 -1.96
S00024 190.8976 128.3049 3.241e-20 7.197e-20 2.686e-19 0.0 -2.03
S00025 191.9901 127.8974 3.314e-19 2.302e-19 7.958e-20 0.0 -0.34
S00026 191.8009 128.2004 4.115e-17 4.994e-17 5.324e-17 0.0 0.21
S00027 191.573 127.918 5.044e-15 7.462e-15 1.198e-14 0.0 0.01
S00028 190.3661 127.7125 1.156e-15 1.061e-15 6.651e-16 0.0 -2.39
S00029 190.6684 127.7777 5.224e-15 6.654e-15 8.182e-15 0.0 -2.2
S00030 191.0276 127.6659 5.362e-17 6.761e-17 7.774e-17 0.0 -2.06
S00031 191.2723 127.7177 3.909e-16 4.103e-16 3.368e-16 0.0 -1.61
S00032 191.2204 127.2811 3.936e-18 6.072e-18 1.062e-17 0.0 -0.63
S00033 191.1366 127.7351 1.507e-11 9.900e-12 3.089e-12 0.0 -1.18
S00034 191.819 128.1154 4.747e-18 7.372e-18 1.344e-17 0.0 0.07
S00035 191.5978 128.2009 4.804e-23 2.040e-22 3.014e-21 0.0 -1.24
S00036 191.7121 127.5872 1.017e-19 2.216e-19 8.071e-19 0.0 -1.68
S00037 191.3247 127.429 1.246e-14 1.263e-14 9.511e-15 0.0 -1.71
S00038 191.6217 127.6985 1.075e-10 8.472e-11 3.702e-11 0.0 0.09
S00039 191.6926 128.1765 1.465e-16 1.565e-16 1.271e-16 0.0 -0.49
S00040 191.556 127.994 3.418e-17 4.511e-17 5.748e-17 0.0 -0.89
S00041 191.3225 128.3374 9.263e-21 2.691e-20 1.837e-19 0.001 -0.99
S00042 191.8933 127.8075 5.842e-18 8.828e-18 1.437e-17 0.0 -1.31
S00043 192.12 127.6339 8.925e-12 5.866e-12 1.896e-12 0.0 -0.19
S00044 191.0339 128.0624 2.973e-18 4.808e-18 9.491e-18 0.0 -1.78
S00045 191.1217 127.8064 8.231e-15 7.087e-15 3.738e-15 0.0 -1.52
S00046 191.0241 127.897 6.311e-20 1.395e-19 5.099e-19 0.0 -1.72
S00047 191.7461 127.5682 1.488e-21 4.270e-21 2.716e-20 0.001 -0.05
S00048 191.1117 128.1265 6.495e-20 1.537e-19 6.498e-19 0.0 -1.36
S00049 191.2556 127.8362 5.869e-15 5.046e-15 2.713e-15 0.0 -1.72
S00050 191.6142 128.0585 1.572e-19 3.312e-19 1.141e-18 0.0 -0.47
S00051 191.3828 127.4966 1.818e-17 2.505e-17 3.353e-17 0.001 0.3
S00052 191.1138 128.7421 1.711e-14 1.353e-14 6.268e-15 0.0 -1.66
S00053 191.6734 128.1055 1.505e-15 1.414e-15 8.971e-16 0.0 -2.01
S00054 192.2964 127.9888 3.715e-20 8.851e-20 4.043e-19 0.0 -2.19
S00055 191.4088 127.4701 3.489e-16 3.571e-16 2.657e-16 0.001 -1.11
S00056 192.5153 127.7736 4.683e-19 8.891e-19 2.479e-18 0.001 -1.91
S00057 191.4315 127.5576 7.084e-15 6.008e-15 3.052e-15 0.0 -2.12
S00058 191.7577 128.5964 2.220e-19 4.750e-19 1.671e-18 0.0 0.29
S00059 191.7374 127.6548 1.616e-19 3.354e-19 1.100e-18 0.001 0.01
S00060 191.198 127.7846 1.978e-15 1.854e-15 1.126e-15 0.0 -0.88
S00061 191.1922 127.4092 6.749e-16 6.648e-16 4.641e-16 0.001 -1.69
S00062 192.1993 127.4618 7.726e-17 9.989e-17 1.232e-16 0.0 -1.92
S00063 191.6278 127.4815 2.178e-18 3.699e-18 7.906e-18 0.0 -0.38
S00064 191.4135 127.3858 1.126e-14 9.597e-15 4.821e-15 0.0 -0.39
S00065 190.8343 127.9147 2.184e-17 2.825e-17 3.506e-17 0.001 -1.14
S00066 190.7833 127.9407 8.064e-17 9.634e-17 9.818e-17 0.001 -2.14
S00067 191.4129 128.0681 5.578e-15 4.673e-15 2.425e-15 0.001 -0.97
S00068 191.4161 128.0436 2.420e-16 2.772e-16 2.695e-16 0.001 -0.67
S00069 191.9081 128.1553 8.602e-20 1.943e-19 7.889e-19 0.0 -0.14
S00070 191.6139 128.0079 7.747e-19 1.428e-18 3.669e-18 0.001 -1.17
S00071 192.2336 128.0194 2.434e-14 2.638e-14 2.195e-14 0.0 -0.7
S00072 190.9057 128.1923 4.621e-17 5.963e-17 6.998e-17 0.0 -1.2
S00073 191.4096 127.5625 1.182e-15 1.198e-15 8.605e-16 0.0 -0.34
S00074 192.0041 127.6727 4.959e-20 1.205e-19 5.480e-19 0.0 -1.43
S00075 191.8199 127.8483 6.640e-16 6.752e-16 4.967e-16 0.0 -0.98
S00076 191.1898 128.2388 9.110e-16 9.271e-16 6.781e-16 0.0 -0.7
S00077 191.4516 128.4535 1.461e-18 2.587e-18 6.089e-18 0.0 -1.3
S00078 191.5135 127.7812 2.778e-19 5.665e-19 1.856e-18 0.001 -1.71
S00079 191.7419 127.9983 4.829e-18 7.645e-18 1.372e-17 0.001 -0.69
S00080 191.2498 128.0396 1.097e-19 2.359e-19 8.246e-19 0.0 0.02
