Name Equatorial Polar PeakFlux(W)
SNe01 304.96 66.85 9.648e-09
SNe02 18.17 123.92 7.313e-08
SNe03 162.98 132.69 2.642e-09
SNe04 54.45 134.64 1.603e-08
SNe05 51.39 122.29 1.628e-09
SNe06 324.07 159.80 5.721e-08
SNe07 87.70 108.69 3.512e-08
SNe08 240.37 118.72 2.126e-09
SNe09 317.49 48.42 1.535e-09
SNe10 248.90 160.34 4.156e-08
SNe11 42.19 98.56 5.214e-09
SNe12 141.97 108.51 1.181e-09
SNe13 138.27 117.12 5.194e-09
SNe14 357.22 56.69 5.732e-09
SNe15 233.24 47.74 4.779e-09
SNe16 65.48 76.14 2.287e-09
SNe17 219.64 144.70 4.186e-09
SNe18 77.24 34.87 3.538e-09
SNe19 336.50 59.57 7.932e-08
SNe20 86.19 48.39 2.341e-09
SNe21 296.30 118.08 3.956e-08
SNe22 251.00 125.85 1.881e-09
SNe23 63.20 53.80 6.972e-09
SNe24 5.74 63.60 2.238e-09
SNe25 85.10 61.69 2.951e-09
SNe26 97.96 115.39 1.396e-06
SNe27 163.73 68.43 1.946e-09
SNe28 128.35 58.54 9.300e-10
SNe29 0.99 94.74 2.781e-09
SNe30 266.29 108.98 2.279e-09
SNe31 189.50 12.54 2.017e-04
SNe32 25.47 144.25 1.854e-09
SNe33 11.46 153.71 6.243e-09
SNe34 83.90 105.06 2.699e-09
SNe35 56.90 60.56 2.751e-09
SNe36 163.18 161.41 3.523e-09
SNe37 19.65 80.63 3.622e-09
SNe38 83.21 45.67 2.710e-09
SNe39 65.41 60.41 1.783e-08
SNe40 119.01 107.01 2.834e-08
SNe41 52.55 110.62 8.415e-10
SNe42 195.21 105.59 1.243e-09
SNe43 321.51 143.58 2.718e-08
SNe44 155.51 117.41 4.664e-09
SNe45 55.19 110.96 1.350e-06
SNe46 54.07 14.93 9.909e-10
SNe47 239.06 27.52 7.754e-09
SNe48 47.63 51.25 5.084e-09
SNe49 322.09 60.06 8.435e-09
SNe50 11.13 52.53 2.137e-08
SNe51 337.74 69.85 3.529e-09
SNe52 353.26 111.50 2.124e-04
SNe53 57.35 151.91 2.041e-08
SNe54 128.66 59.22 1.092e-08
SNe55 325.48 40.83 2.783e-08
