Name Equatorial Polar PeakFlux(W)
SNe01 16.29 165.44 2.494e-08
SNe02 41.01 142.73 4.812e-08
SNe03 257.81 67.17 1.715e-08
SNe04 350.85 77.79 3.232e-08
SNe05 221.80 110.83 5.211e-08
SNe06 29.57 145.42 1.057e-09
SNe07 4.44 52.41 5.509e-07
SNe08 162.32 161.11 1.345e-07
SNe09 112.00 113.92 1.087e-05
SNe10 262.48 30.15 1.494e-09
SNe11 305.84 98.50 9.222e-07
SNe12 45.00 94.61 7.769e-09
SNe13 358.24 79.15 2.087e-09
SNe14 239.38 74.23 4.105e-09
SNe15 69.44 64.26 2.989e-08
SNe16 163.48 86.61 1.900e-08
SNe17 251.98 85.62 6.795e-09
SNe18 214.59 138.04 1.732e-09
SNe19 125.72 105.74 1.587e-07
SNe20 130.31 48.96 4.351e-09
SNe21 302.55 142.51 3.511e-09
SNe22 190.52 172.36 7.373e-07
SNe23 330.06 70.98 1.978e-09
SNe24 284.41 78.73 6.142e-09
SNe25 305.17 53.50 4.329e-09
SNe26 61.06 86.00 4.125e-09
SNe27 207.12 67.67 8.544e-10
SNe28 78.55 73.08 2.644e-09
SNe29 230.01 155.81 2.001e-08
SNe30 106.25 104.48 2.426e-04
SNe31 333.76 81.62 2.051e-09
SNe32 101.04 90.22 2.948e-08
SNe33 348.76 76.96 1.836e-09
SNe34 181.28 94.83 8.201e-09
SNe35 99.64 78.16 6.731e-08
SNe36 236.13 56.98 2.112e-09
SNe37 240.96 161.73 1.063e-08
SNe38 5.71 166.58 2.411e-08
SNe39 322.76 44.74 1.501e-09
SNe40 144.85 123.05 1.844e-08
SNe41 137.42 78.20 7.787e-09
SNe42 286.06 44.52 7.440e-08
SNe43 26.84 74.05 7.548e-09
SNe44 221.96 29.42 1.262e-08
SNe45 252.08 25.06 2.730e-09
SNe46 22.93 71.70 1.528e-07
SNe47 22.61 69.58 7.914e-09
SNe48 285.87 121.33 3.970e-08
SNe49 215.37 92.59 3.569e-08
SNe50 57.27 108.89 7.823e-09
SNe51 72.96 114.51 6.541e-08
SNe52 305.97 53.66 4.417e-09
SNe53 74.36 170.85 2.168e-09
SNe54 72.65 135.75 3.848e-09
SNe55 295.88 72.67 1.101e-08
