Name Equatorial Polar BlueF GreenF RedF Size RadialVelocity
DG0151 225.5692 172.6166 1.091e-16 8.339e-17 2.724e-17 394.5125 600.45
DG0152 226.1525 172.015 4.237e-17 3.275e-17 1.408e-17 89.1918 601.92
DG0153 223.0719 173.0737 4.187e-17 2.998e-17 1.402e-17 93.024 598.55
DG0154 230.328 172.6359 4.167e-17 3.593e-17 1.41e-17 107.4659 601.88
DG0155 223.5223 172.2046 4.814e-17 3.308e-17 1.477e-17 110.7078 599.68
DG0156 225.278 172.9855 3.086e-17 2.345e-17 1.206e-17 170.0276 599.88
DG0157 227.0558 172.532 4.061e-17 3.226e-17 1.389e-17 90.2723 599.49
DG0158 227.1192 173.2197 4.104e-17 3.133e-17 1.392e-17 87.0214 600.27
DG0159 225.2604 173.1695 4.606e-17 3.591e-17 1.757e-17 108.2223 602.15
DG0160 227.0213 172.4684 2.902e-17 2.194e-17 9.977e-18 159.4141 599.53
DG0161 224.4388 172.8557 2.906e-17 2.464e-17 1.03e-17 102.5904 599.31
DG0162 227.7071 172.2606 5.76e-17 4.527e-17 1.783e-17 114.3001 601.09
DG0163 226.0683 172.4075 4.052e-17 3.207e-17 1.374e-17 95.1385 598.68
DG0164 227.5505 173.2594 3.932e-17 3.381e-17 1.396e-17 85.6969 601.95
DG0165 227.3714 172.8366 4.261e-17 3.239e-17 1.637e-17 127.1123 598.5
DG0166 228.6287 172.2834 2.907e-17 2.493e-17 1.087e-17 151.9897 600.22
DG0167 228.4324 172.5632 4.16e-17 3.579e-17 1.565e-17 111.572 598.7
DG0168 228.6024 172.9099 3.918e-17 3.156e-17 1.511e-17 84.9474 598.7
DG0169 221.3467 172.1913 2.769e-17 2.365e-17 1.044e-17 100.3837 599.17
