Name Equatorial Polar PeakFlux(W)
SNe01 21.08 7.42 1.581e-08
SNe02 147.26 79.58 2.668e-07
SNe03 308.28 78.61 1.912e-07
SNe04 306.73 77.97 2.059e-07
SNe05 100.52 22.18 1.315e-07
SNe06 318.89 134.48 2.012e-07
SNe07 316.25 137.76 2.320e-07
SNe08 312.93 140.22 2.380e-07
SNe09 323.25 139.80 2.468e-07
SNe10 152.48 44.59 1.527e-05
SNe11 129.48 55.19 2.537e-05
SNe12 100.11 90.81 2.364e-07
SNe13 319.87 86.65 2.003e-07
SNe14 312.92 140.24 2.348e-07
SNe15 23.96 7.12 1.614e-08
SNe16 101.56 92.31 2.233e-07
SNe17 27.52 5.27 1.620e-08
SNe18 32.71 5.39 1.642e-08
SNe19 308.70 73.43 1.964e-07
SNe20 138.96 96.73 3.177e-05
SNe21 25.97 6.70 1.743e-08
SNe22 321.89 138.12 2.426e-07
SNe23 101.58 92.28 2.247e-07
SNe24 317.44 136.15 2.040e-07
SNe25 100.55 22.37 1.346e-07
SNe26 25.42 5.38 1.622e-08
SNe27 319.63 133.06 2.448e-07
SNe28 23.75 6.79 1.650e-08
SNe29 20.78 7.96 1.620e-08
SNe30 100.13 93.13 2.283e-07
SNe31 143.91 45.51 1.385e-05
SNe32 147.63 78.43 2.523e-07
SNe33 32.73 5.38 1.642e-08
SNe34 306.16 76.68 1.889e-07
SNe35 15.22 6.86 1.546e-08
SNe36 323.23 139.82 2.543e-07
SNe37 14.93 6.41 1.553e-08
SNe38 23.60 8.46 1.604e-08
SNe39 317.07 132.67 2.421e-07
SNe40 101.32 90.78 2.155e-07
SNe41 99.06 93.49 2.097e-07
SNe42 25.43 5.39 1.619e-08
SNe43 99.92 91.66 2.327e-07
SNe44 137.17 62.57 4.166e-05
SNe45 152.46 44.59 1.527e-05
SNe46 320.93 141.02 2.612e-07
SNe47 198.35 66.80 3.556e-05
SNe48 25.97 6.70 1.753e-08
SNe49 21.09 7.41 1.609e-08
SNe50 309.47 74.55 1.911e-07
SNe51 306.49 76.22 1.785e-07
SNe52 23.96 7.10 1.622e-08
SNe53 107.21 81.99 1.843e-05
SNe54 23.20 7.13 1.743e-08
SNe55 23.96 7.13 1.636e-08
