Name Equatorial Polar Luminosity
RS01 146.76 78.28 1.317e-09
RS02 147.22 79.72 6.618e-11
RS03 146.31 78.88 1.451e-10
RS04 147.24 79.58 9.113e-11
RS05 319.86 86.66 4.022e-11
RS06 99.30 91.87 5.486e-09
RS07 100.12 93.14 6.143e-11
RS08 101.20 89.08 4.821e-11
RS09 100.12 90.81 3.494e-10
RS10 100.09 92.24 2.637e-10
RS11 97.84 93.51 3.644e-11
RS12 99.07 93.48 4.426e-11
RS13 101.33 90.77 2.733e-10
RS14 100.05 88.54 4.043e-11
RS15 101.57 92.30 1.186e-09
RS16 238.20 38.82 3.897e-10
RS17 308.55 75.96 4.560e-09
RS18 306.16 76.69 3.285e-10
RS19 310.21 77.26 4.508e-10
RS20 306.49 76.22 6.303e-11
RS21 306.75 77.98 1.764e-10
RS22 308.27 78.61 2.591e-10
RS23 310.22 77.89 2.451e-10
RS24 309.47 74.54 1.807e-10
RS25 317.67 136.88 1.101e-09
RS26 322.50 134.67 6.391e-10
RS27 320.17 131.92 3.900e-10
RS28 316.25 137.76 2.263e-10
RS29 317.46 136.14 3.024e-10
RS30 316.97 132.66 6.023e-10
RS31 318.69 130.56 5.516e-10
RS32 321.97 137.69 5.385e-10
RS33 318.89 134.48 3.846e-10
RS34 324.32 137.95 9.082e-11
RS35 312.19 134.15 7.274e-11
RS36 318.98 131.79 7.587e-10
RS37 316.89 135.14 1.434e-09
RS38 312.58 140.54 3.644e-10
RS39 320.92 141.02 4.629e-11
RS40 313.92 138.19 7.451e-10
RS41 137.17 62.57 8.474e-07
RS42 97.66 42.51 3.658e-08
RS43 150.90 65.95 9.014e-08
RS44 91.05 65.22 1.653e-08
RS45 143.91 45.50 3.229e-09
RS46 129.46 55.18 1.434e-08
RS47 138.97 96.72 1.817e-08
RS48 152.47 44.59 4.747e-08
RS49 100.49 48.39 1.346e-07
RS50 126.79 61.39 6.074e-07
RS51 269.48 13.91 1.166e-11
RS52 100.52 22.18 2.675e-09
RS53 102.29 20.81 1.581e-09
RS54 103.21 21.87 1.527e-09
RS55 100.55 22.37 3.514e-08
RS56 23.76 6.78 2.449e-08
RS57 10.05 6.86 1.551e-10
RS58 31.83 7.82 1.444e-10
RS59 26.09 5.08 4.596e-10
RS60 15.06 6.81 2.904e-10
RS61 15.23 6.87 2.575e-10
RS62 21.09 7.43 4.972e-09
RS63 31.74 7.41 1.326e-10
RS64 14.94 6.41 1.727e-10
RS65 36.34 5.29 1.591e-10
RS66 20.75 4.86 3.798e-10
RS67 25.97 6.71 3.560e-10
RS68 13.64 7.46 2.294e-10
RS69 7.66 7.21 1.009e-10
RS70 32.71 5.39 1.854e-09
RS71 14.84 5.52 7.176e-11
RS72 25.73 8.99 1.456e-10
RS73 25.42 5.37 2.694e-09
RS74 27.66 7.73 6.151e-11
RS75 15.01 6.79 5.700e-09
RS76 7.79 7.45 9.198e-11
RS77 27.51 5.28 1.557e-10
RS78 25.79 6.88 3.839e-10
RS79 25.34 8.06 2.401e-10
RS80 27.17 5.99 1.705e-10
RS81 29.38 5.53 2.540e-10
RS82 34.95 7.69 1.525e-10
RS83 21.92 6.47 2.999e-10
RS84 20.77 7.95 3.082e-10
RS85 23.95 7.11 8.136e-11
RS86 23.21 7.13 3.339e-10
RS87 23.60 8.46 2.352e-10
RS88 16.91 8.07 2.869e-10
RS89 16.70 7.48 2.246e-10
