Name Equatorial Polar Luminosity
RS1 124.12 56.78 4.549e-09
RS2 123.76 58.33 1.024e-10
RS3 122.19 57.46 6.992e-11
RS4 124.36 55.90 4.575e-10
RS5 126.30 55.33 6.193e-10
RS6 122.81 55.82 6.261e-10
RS7 123.11 56.02 1.380e-09
RS8 122.09 55.88 3.982e-11
RS9 121.84 55.94 4.833e-10
RS10 344.46 59.66 3.268e-09
RS11 345.91 58.32 4.301e-11
RS12 343.51 61.45 2.307e-10
RS13 345.29 58.72 6.633e-10
RS14 345.11 61.70 2.152e-10
RS15 344.38 59.69 3.006e-10
RS16 345.37 61.83 7.709e-11
RS17 346.22 59.34 5.415e-11
RS18 343.73 58.97 1.078e-10
RS19 241.59 144.36 3.088e-09
RS20 239.16 141.42 6.910e-11
RS21 243.94 140.22 1.005e-09
RS22 238.25 145.99 2.570e-10
RS23 244.25 141.55 6.729e-11
RS24 246.33 146.93 3.414e-10
RS25 240.12 146.66 4.298e-10
RS26 238.49 147.43 5.002e-10
RS27 239.05 146.69 7.703e-10
RS28 238.80 141.38 1.069e-10
RS29 241.22 142.80 3.840e-10
RS30 237.60 142.96 1.960e-10
RS31 324.44 123.04 1.141e-08
RS32 327.74 122.83 1.024e-09
RS33 324.16 125.33 5.594e-09
RS34 324.86 124.07 4.196e-09
RS35 324.47 116.91 4.040e-09
RS36 187.49 112.11 6.182e-09
RS37 185.04 107.91 3.437e-09
RS38 183.22 115.46 1.313e-09
RS39 184.34 115.23 9.732e-11
RS40 183.04 109.86 8.402e-10
RS41 185.90 112.45 2.060e-10
RS42 183.38 112.55 5.491e-09
RS43 184.54 116.82 1.745e-10
RS44 188.56 116.77 2.987e-09
RS45 182.94 112.29 4.409e-09
RS46 275.20 40.44 1.680e-08
RS47 281.16 37.24 1.922e-08
RS48 270.68 47.26 1.542e-08
RS49 277.92 29.08 1.801e-09
RS50 284.52 33.45 1.658e-09
RS51 259.67 44.69 6.630e-09
RS52 274.04 42.27 1.147e-08
RS53 287.88 38.96 2.950e-09
RS54 285.11 36.04 1.199e-09
RS55 257.08 37.19 6.654e-09
RS56 292.73 45.04 2.432e-09
RS57 259.85 29.77 3.974e-09
RS58 273.45 55.76 8.323e-10
RS59 269.05 104.08 3.133e-07
RS60 313.90 129.36 4.628e-08
RS61 250.49 160.28 5.523e-08
RS62 268.18 107.07 2.161e-08
RS63 203.06 129.56 9.798e-08
RS64 268.03 132.45 1.392e-08
RS65 277.35 90.60 2.833e-07
RS66 265.33 97.10 3.055e-08
RS67 315.99 108.28 6.775e-08
RS68 180.00 90.00 5.615e-05
RS69 38.72 67.76 3.608e-11
RS70 38.65 67.78 5.694e-11
RS71 38.64 67.61 7.485e-11
RS72 153.56 142.14 5.017e-10
RS73 153.69 142.10 2.161e-11
RS74 153.56 142.24 4.339e-11
RS75 153.49 142.17 2.414e-11
RS76 153.62 142.05 3.938e-11
RS77 153.35 142.14 2.324e-11
RS78 109.90 25.16 7.711e-11
