Name Equatorial Polar PeakFlux(W)
SNe01 101.28 66.69 1.516e-08
SNe02 333.79 41.64 3.843e-05
SNe03 34.73 23.24 4.972e-08
SNe04 238.89 50.39 9.520e-08
SNe05 273.74 141.99 1.687e-09
SNe06 353.69 86.85 3.861e-09
SNe07 234.71 49.29 5.368e-09
SNe08 88.04 155.86 1.212e-09
SNe09 191.81 114.56 5.807e-09
SNe10 57.24 133.62 5.419e-09
SNe11 23.17 156.04 1.331e-09
SNe12 180.86 68.54 8.919e-10
SNe13 196.86 94.69 1.587e-09
SNe14 334.75 43.26 7.909e-08
SNe15 265.73 29.04 3.809e-09
SNe16 220.71 157.35 3.957e-08
SNe17 347.58 132.31 1.135e-08
SNe18 85.72 109.52 4.004e-08
SNe19 272.59 63.18 2.952e-09
SNe20 264.44 140.84 5.759e-08
SNe21 265.48 77.74 2.044e-09
SNe22 44.03 44.74 1.916e-09
SNe23 292.90 83.16 1.037e-04
SNe24 17.45 144.78 7.359e-08
SNe25 88.04 143.30 8.746e-10
SNe26 233.25 30.12 4.135e-09
SNe27 14.45 106.96 5.768e-08
SNe28 234.66 47.58 7.574e-09
SNe29 234.41 122.06 1.199e-08
SNe30 73.49 125.54 3.209e-08
SNe31 235.85 156.23 1.514e-09
SNe32 248.69 133.02 1.871e-09
SNe33 215.04 151.31 4.312e-08
SNe34 118.96 89.67 1.214e-06
SNe35 290.22 87.55 9.682e-10
SNe36 119.58 123.95 2.554e-09
SNe37 239.35 27.93 2.313e-08
SNe38 285.43 29.01 1.764e-07
SNe39 214.88 57.53 7.513e-09
SNe40 99.89 65.34 1.502e-09
SNe41 157.51 100.31 3.606e-09
SNe42 183.52 105.64 7.026e-08
SNe43 86.44 103.36 4.231e-08
SNe44 183.34 49.98 1.359e-07
SNe45 349.21 82.11 1.146e-07
SNe46 191.47 152.00 7.329e-09
SNe47 149.45 91.75 2.038e-08
SNe48 255.32 78.23 1.399e-09
SNe49 84.79 109.83 3.656e-08
SNe50 292.42 134.73 9.608e-09
SNe51 177.61 105.08 1.551e-08
SNe52 201.99 114.48 1.035e-09
SNe53 7.61 98.50 5.418e-08
SNe54 134.59 46.34 3.985e-09
SNe55 271.54 137.08 1.449e-08
