Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S191640 336.8909 99.298 3.393e-24 1.0549999999999999e-23 8.243e-23 0.0 119.08 0.0
S191641 336.8472 99.3019 1.76e-21 3.445e-21 1.0100000000000001e-20 0.0 120.16 0.0
S191642 336.8786 99.2732 5.0120000000000006e-20 7.461e-20 1.238e-19 0.0 119.75 0.0
S191644 336.8686 99.2848 7.701e-24 2.5549999999999998e-23 2.2239999999999997e-22 0.0 119.95 0.0
S191645 336.9731 99.1878 2.384e-22 5.669e-22 2.486e-21 0.0 119.38 0.0
S191646 336.9289 99.3038 1.13e-19 1.526e-19 2.095e-19 0.0 119.12 0.0
S191647 337.0756 99.4023 2.5139999999999997e-22 6.020999999999999e-22 2.646e-21 0.0 119.17 0.0
S191648 336.8868 99.3037 6.9009999999999995e-22 1.337e-21 3.709e-21 0.0 119.76 0.0
S191649 336.8898 99.293 2.612e-13 1.84e-13 6.742e-14 0.0 119.49 0.0
S191650 336.8801 99.2957 1.843e-19 2.469e-19 3.129e-19 0.0 120.05 0.0
S191651 336.8908 99.3084 2.429e-20 3.9630000000000006e-20 7.571e-20 0.0 119.34 0.0
S191652 336.8812 99.3587 2.987e-19 3.615e-19 3.863e-19 0.0 119.66 0.0
S191653 336.8965 99.3033 4.269e-17 3.547e-17 1.792e-17 0.0 119.31 0.0
S191654 336.8739 99.2766 1.623e-24 5.682e-24 5.471e-23 0.0 119.82 1.0
S191655 336.9507 99.3807 3.079e-21 6.063e-21 1.7400000000000003e-20 0.0 119.36 0.0
S191656 336.8417 99.3307 2.6870000000000002e-20 4.1360000000000006e-20 7.487e-20 0.0 120.08 1.0
S191657 336.8767 99.2916 2.732e-23 7.486e-23 4.431999999999999e-22 0.0 119.98 0.0
S191658 336.8579 99.3141 1.875e-19 2.433e-19 3.036e-19 0.0 120.09 0.0
S191660 336.8862 99.2948 5.523e-22 1.202e-21 4.3e-21 0.0 120.12 0.0
S191661 336.9477 99.3133 2.068e-21 4.135e-21 1.251e-20 0.0 119.08 0.0
S191662 336.8954 99.3073 1.0519999999999999e-22 2.793e-22 1.527e-21 0.0 119.34 0.0
S191663 336.7166 99.2673 1.2199999999999999e-23 3.6509999999999996e-23 2.5799999999999997e-22 0.0 120.25 0.0
S191664 336.8021 99.3315 3.231e-23 8.699e-23 4.822e-22 0.0 120.17 0.0
S191665 336.8894 99.2872 6.420999999999999e-23 1.7049999999999998e-22 9.074999999999999e-22 0.0 119.6 0.0
S191666 336.9161 99.2773 1.049e-21 2.183e-21 7.398e-21 0.0 119.28 0.0
S191667 336.9231 99.2829 2.099e-21 4.016e-21 1.1120000000000001e-20 0.0 119.22 0.0
S191668 336.8695 99.3534 5.016e-22 1.142e-21 4.473e-21 0.0 119.73 0.0
S191669 336.8912 99.2869 7.822e-19 8.839e-19 8.008e-19 0.0 119.57 0.0
S191670 336.8161 99.3018 1.217e-19 1.65e-19 2.269e-19 0.0 120.23 0.0
S191671 336.9064 99.2889 6.312e-19 7.964e-19 9.054e-19 0.0 119.26 0.0
S191672 336.7988 99.2821 5.447e-19 6.429e-19 6.672e-19 0.0 120.23 0.0
S191673 336.7073 99.207 3.972e-17 6.589e-17 1.341e-16 0.0 120.14 0.0
S191674 336.8766 99.3107 1.169e-21 2.578e-21 9.598e-21 0.0 119.94 0.0
S191675 337.0728 99.1979 2.436e-16 2.298e-16 1.479e-16 0.0 119.17 0.0
S191676 336.9147 99.2747 1.381e-22 3.311e-22 1.509e-21 0.0 119.28 0.0
S191677 336.8934 99.2996 6.744e-23 1.8899999999999997e-22 1.121e-21 0.0 119.33 0.0
S191678 336.9136 99.2721 1.096e-18 1.22e-18 1.074e-18 0.0 119.3 0.0
S191679 336.916 99.2998 1.865e-25 8.516e-25 1.415e-23 0.0 119.17 0.0
S191680 336.8898 99.2955 1.1079999999999998e-22 2.4529999999999996e-22 9.299e-22 0.0 119.13 0.0
S191681 336.9315 99.3032 2.175e-16 2.091e-16 1.406e-16 0.0 119.09 0.0
S191682 337.1115 99.3383 8.601999999999999e-23 2.459e-22 1.611e-21 0.001 118.99 0.0
S191683 336.8808 99.309 2.215e-13 2.565e-13 2.523e-13 0.0 119.86 0.0
S191684 336.8884 99.2988 1.829e-18 1.96e-18 1.639e-18 0.0 118.9 0.0
S191685 336.7695 99.3152 3.6350000000000003e-20 5.519000000000001e-20 9.547000000000001e-20 0.0 120.28 0.0
S191686 336.8923 99.2796 5.31e-18 5.142e-18 3.346e-18 0.0 119.57 0.0
S191687 336.8839 99.2898 3.396e-21 2.218e-21 6.764999999999999e-22 0.0 119.82 0.0
S191688 336.8911 99.3044 4.839e-16 3.772e-16 1.6e-16 0.0 119.35 1.0
S191689 336.866 99.3379 3.186e-21 5.805e-21 1.4410000000000002e-20 0.0 119.83 0.0
S191690 336.8923 99.2999 8.280999999999999e-23 1.8579999999999998e-22 6.954999999999999e-22 0.0 119.08 0.0
S191691 336.9276 99.3087 2.0589999999999998e-22 4.958e-22 2.274e-21 0.0 119.14 0.0
S191692 336.8656 99.324 6.905e-19 7.595e-19 6.571e-19 0.0 119.99 0.0
S191693 337.0263 99.3207 4.3660000000000004e-20 6.731e-20 1.221e-19 0.0 119.02 0.0
S191694 336.9146 99.2735 3.6479999999999997e-23 9.681e-23 5.555e-22 0.0 119.32 0.0
S191695 336.9373 99.3494 3.741e-18 3.886e-18 3.036e-18 0.0 119.32 0.0
S191696 336.8276 99.2663 3.632e-18 3.589e-18 2.58e-18 0.0 120.11 0.0
S191697 336.8916 99.3024 3.619e-24 1.23e-23 1.147e-22 0.0 119.22 0.0
S191698 336.8963 99.3026 7.353999999999999e-23 1.9699999999999998e-22 1.084e-21 0.0 119.17 0.0
S191699 336.8847 99.3162 1.548e-18 1.707e-18 1.497e-18 0.0 119.71 0.0
S191700 336.8923 99.2985 4.54e-19 5.504e-19 5.683e-19 0.0 119.39 0.0
S191701 336.8871 99.3019 4.968999999999999e-22 1.16e-21 4.8680000000000004e-21 0.0 120.01 1.0
S191702 336.8869 99.2982 1.125e-20 1.8310000000000002e-20 3.5500000000000005e-20 0.0 119.79 0.0
S191703 336.6877 99.2394 3.5759999999999997e-22 9.062e-22 4.592e-21 0.0 120.27 0.0
S191704 336.9168 99.2982 2.619e-22 5.911e-22 2.3390000000000002e-21 0.0 119.15 0.0
S191705 336.8959 99.2817 2.142e-19 2.771e-19 3.334e-19 0.0 119.51 0.0
S191706 336.8791 99.3028 9.943e-22 2.001e-21 6.008e-21 0.0 120.12 0.0
S191707 336.9671 99.3897 2.811e-18 2.793e-18 2.074e-18 0.0 119.28 0.0
S191708 336.8986 99.3018 3.1490000000000003e-25 1.412e-24 2.4039999999999998e-23 0.0 119.18 0.0
S191709 336.9513 99.2526 3.246e-24 1.1109999999999999e-23 9.984e-23 0.0 119.27 0.0
S191710 336.8832 99.2963 1.63e-17 1.423e-17 7.718e-18 0.0 119.94 0.0
S191711 336.8777 99.3002 3.091e-17 4.149e-17 5.422e-17 0.0 120.08 0.0
S191712 336.9651 99.3697 1.028e-18 1.182e-18 1.078e-18 0.0 119.27 0.0
S191713 336.893 99.3081 2.486e-19 3.101e-19 3.553e-19 0.0 119.41 0.0
S191714 336.8238 99.2441 1.025e-20 1.7200000000000002e-20 3.513e-20 0.0 119.98 0.0
S191715 336.8765 99.3054 1.6599999999999997e-22 3.615e-22 1.274e-21 0.0 119.84 0.0
S191716 336.8683 99.3269 2.184e-21 1.5e-21 5.17e-22 0.0 119.92 0.0
