Name Equatorial Polar PeakFlux(W)
SNe01 152.69 126.35 2.901e-07
SNe02 278.87 104.61 4.096e-05
SNe03 257.44 101.26 1.740e-05
SNe04 155.13 130.52 3.216e-07
SNe05 153.98 129.01 2.956e-07
SNe06 237.03 85.60 3.125e-07
SNe07 318.00 106.50 3.851e-05
SNe08 272.47 80.23 3.509e-05
SNe09 152.72 126.34 2.830e-07
SNe10 272.47 80.22 3.548e-05
SNe11 14.95 61.00 2.709e-07
SNe12 152.72 126.33 2.864e-07
SNe13 16.23 59.61 2.794e-07
SNe14 295.07 54.81 3.595e-05
SNe15 78.92 40.37 1.531e-08
SNe16 304.64 115.82 2.853e-05
SNe17 272.46 80.24 3.546e-05
SNe18 235.49 88.52 3.669e-07
SNe19 79.44 40.59 1.504e-08
SNe20 271.71 87.51 4.102e-05
SNe21 278.86 104.61 4.069e-05
SNe22 195.09 8.78 2.293e-07
SNe23 307.49 64.22 1.973e-07
SNe24 277.21 59.16 1.314e-08
SNe25 235.77 84.63 3.253e-07
SNe26 80.08 150.74 1.957e-08
SNe27 272.47 80.26 3.547e-05
SNe28 237.05 85.62 3.165e-07
SNe29 205.66 9.12 2.340e-07
SNe30 154.01 127.80 2.907e-07
SNe31 14.94 61.00 2.736e-07
SNe32 16.23 59.58 2.806e-07
SNe33 237.04 85.63 3.118e-07
SNe34 247.66 96.00 1.838e-05
SNe35 80.89 150.31 1.984e-08
SNe36 318.01 106.51 3.828e-05
SNe37 237.05 85.64 3.166e-07
SNe38 152.46 131.25 2.905e-07
SNe39 277.24 59.18 1.319e-08
SNe40 312.96 81.95 2.551e-05
SNe41 236.37 86.53 3.189e-07
SNe42 16.03 58.67 2.701e-07
SNe43 272.47 80.23 3.504e-05
SNe44 236.51 86.69 3.400e-07
SNe45 257.46 101.26 1.763e-05
SNe46 153.99 127.77 2.882e-07
SNe47 81.88 150.31 1.952e-08
SNe48 307.04 63.66 1.995e-07
SNe49 15.98 58.18 2.632e-07
SNe50 198.01 7.89 2.325e-07
SNe51 236.53 86.70 3.452e-07
SNe52 295.05 54.81 3.627e-05
SNe53 152.70 126.33 2.861e-07
SNe54 81.77 150.52 2.035e-08
SNe55 80.87 150.56 2.003e-08
