Name Equatorial Polar Luminosity
RS01 307.48 64.23 7.081e-10
RS02 307.05 63.64 7.474e-11
RS03 237.04 85.62 7.605e-11
RS04 235.79 84.63 7.677e-10
RS05 236.37 86.55 2.542e-10
RS06 205.67 9.11 1.145e-09
RS07 198.00 7.89 5.188e-11
RS08 195.10 8.78 4.314e-10
RS09 153.97 129.02 1.955e-09
RS10 153.10 131.69 5.939e-10
RS11 154.85 132.30 3.248e-10
RS12 151.91 128.94 8.851e-10
RS13 155.12 130.51 3.185e-10
RS14 154.00 127.77 2.153e-09
RS15 152.47 131.24 8.315e-10
RS16 15.17 59.51 7.328e-10
RS17 16.00 58.16 4.888e-10
RS18 16.03 58.68 6.381e-11
RS19 271.72 87.50 4.159e-07
RS20 304.62 115.81 7.062e-09
RS21 278.86 104.61 1.227e-07
RS22 247.67 96.00 5.266e-09
RS23 272.47 80.23 2.652e-07
RS24 281.02 109.26 2.729e-08
RS25 312.95 81.95 3.594e-08
RS26 275.35 107.31 2.554e-09
RS27 264.39 66.37 2.607e-08
RS28 318.01 106.51 1.712e-08
RS29 311.01 118.64 1.056e-07
RS30 257.45 101.26 1.437e-08
RS31 295.06 54.79 8.139e-08
RS32 180.00 90.00 3.169e-05
RS33 78.92 40.38 9.991e-09
RS34 79.45 40.61 7.651e-11
RS35 78.94 40.23 1.749e-10
RS36 78.66 40.42 6.192e-10
RS37 81.05 150.57 7.748e-09
RS38 80.87 150.57 1.835e-10
RS39 81.41 150.77 1.570e-10
RS40 81.76 150.52 7.923e-11
RS41 80.87 150.29 3.023e-10
RS42 81.88 150.30 1.105e-10
RS43 80.09 150.74 3.797e-10
RS44 277.22 59.17 2.149e-10
