Time NormalisedFlux
0.0 1.034531107633076
1.0 1.0267230401451573
2.0 0.9806334739141023
3.0 0.998451966142183
4.0 0.9247277620714632
5.0 0.9462220342968112
6.0 0.9014674664816532
7.0 0.9316096909783883
8.0 0.8662758728961664
9.0 0.8655589918119571
10.0 0.9205158790597442
11.0 0.9047203933207312
12.0 0.9267133391682274
13.0 0.9741101041170527
14.0 0.9782917791629313
15.0 1.0296907922166032
16.0 1.0463687128882586
17.0 1.0546345261805643
18.0 1.0938674087408187
19.0 1.0884324600617425
20.0 1.086912750334595
21.0 1.1672545496634388
22.0 1.0923177652903429
23.0 1.1016300736313864
24.0 1.021357284379306
25.0 1.0161877889764401
26.0 1.00633874494355
27.0 0.9675719449891274
28.0 0.9819666905037194
29.0 0.9360582789501435
30.0 0.952539149704705
31.0 0.8922097729624172
32.0 0.8375567974034132
33.0 0.8029710714032572
34.0 0.90588218871672
35.0 0.8866067280877054
36.0 0.9332661619757157
37.0 0.9569602405293387
38.0 0.986174971841033
39.0 0.9864166061159035
40.0 1.041372607180258
41.0 1.0586542374115084
42.0 1.0625465863904404
43.0 1.046868652518554
44.0 1.1059785369162294
45.0 1.15906346825664
46.0 1.1452986351461856
47.0 1.0816193433586057
48.0 1.0907634578549863
49.0 1.065426290185324
50.0 1.029325186187248
51.0 1.0261861195717359
52.0 0.996105461122379
53.0 0.9962781462163269
54.0 0.9511157868657392
55.0 0.919133441690615
56.0 0.9229178896989532
57.0 0.8542310209536038
58.0 0.8696283955023664
59.0 0.860708727895322
60.0 0.9237564913205479
61.0 0.9434979366740477
62.0 0.9635352130474547
63.0 0.9777855178292707
64.0 0.9856399452735254
65.0 1.0243514812275607
66.0 1.0235341752896048
67.0 1.0762626362425416
68.0 1.113833053122553
69.0 1.121842450755363
70.0 1.198659435190977
71.0 1.1171018614952744
72.0 1.089895598168918
73.0 1.117699593321932
74.0 1.0716732463264562
75.0 1.0336134033389384
76.0 1.024292775613583
77.0 0.9685983467787994
78.0 0.9665069365543268
79.0 0.9175892442311364
80.0 0.9189004854431243
81.0 0.891992256390124
82.0 0.8513088089047083
83.0 0.8604246151105186
84.0 0.8664608997661495
85.0 0.8625708603662704
86.0 0.9305545969203042
87.0 0.9602564960075431
88.0 1.0172824046311395
89.0 1.0124349711407092
90.0 1.0275164822563356
91.0 1.0578540643737724
92.0 1.0258601974434187
93.0 1.0924107898569124
94.0 1.0993012077137745
95.0 1.1022785382057092
96.0 1.1144698040361372
97.0 1.1004817301879979
98.0 1.0680368962161533
99.0 1.0497943011271118
100.0 1.0493293082563446
101.0 1.0279062089730975
102.0 1.0093675135904163
103.0 0.9311197476378777
104.0 0.9740927638224819
105.0 0.9102803792877519
106.0 0.8954633336388412
107.0 0.8712267432362308
108.0 0.8876372383554263
109.0 0.8918110971921465
110.0 0.9330638735498937
111.0 0.9635313762941891
112.0 0.9612701138495116
113.0 1.0077788725500667
114.0 0.9619056049195656
115.0 1.0278360775807367
116.0 1.0822649666871094
117.0 1.0763158429999837
118.0 1.0903133986846618
119.0 1.1227095473109359
120.0 1.152178225538967
