Name Equatorial Polar PeakFlux(W)
SNe01 56.89 92.37 8.917e-09
SNe02 293.63 71.58 3.711e-09
SNe03 286.34 138.44 1.044e-09
SNe04 116.56 95.86 1.062e-08
SNe05 199.51 63.76 1.415e-09
SNe06 199.13 63.34 1.396e-09
SNe07 112.59 106.32 1.524e-08
SNe08 46.06 115.75 2.478e-05
SNe09 276.21 91.42 4.931e-09
SNe10 102.81 68.86 2.207e-06
SNe11 48.12 96.70 4.542e-07
SNe12 53.00 95.60 3.788e-07
SNe13 285.97 138.48 1.050e-09
SNe14 324.13 143.66 5.944e-07
SNe15 63.17 102.41 4.228e-05
SNe16 6.60 75.19 9.715e-09
SNe17 148.71 49.08 1.705e-08
SNe18 17.76 132.64 1.268e-09
SNe19 255.30 87.45 2.260e-08
SNe20 171.15 126.80 2.104e-07
SNe21 278.58 70.50 5.728e-09
SNe22 299.23 58.20 5.517e-09
SNe23 52.56 138.48 3.622e-05
SNe24 89.06 79.19 9.587e-07
SNe25 233.86 47.80 2.380e-07
SNe26 3.57 122.76 1.037e-08
SNe27 173.41 117.81 1.966e-08
SNe28 55.57 93.45 9.384e-09
SNe29 297.18 83.34 1.164e-09
SNe30 228.93 141.94 2.988e-08
SNe31 65.23 124.68 5.485e-09
SNe32 3.74 121.94 1.031e-08
SNe33 101.66 121.58 2.578e-05
SNe34 77.50 28.70 8.357e-10
SNe35 334.02 53.12 8.700e-10
SNe36 299.90 73.42 2.119e-08
SNe37 3.03 122.44 1.129e-08
SNe38 302.52 58.85 9.536e-09
SNe39 52.78 74.61 5.608e-09
SNe40 297.08 83.23 1.177e-09
SNe41 126.07 60.23 4.696e-07
SNe42 63.87 124.61 5.360e-09
SNe43 126.77 66.98 2.239e-07
SNe44 128.80 84.95 2.452e-07
SNe45 67.12 137.77 5.446e-08
SNe46 231.96 79.49 6.638e-09
SNe47 276.59 91.65 4.959e-09
SNe48 174.10 117.84 2.036e-08
SNe49 350.64 146.93 1.808e-08
SNe50 299.61 56.99 5.504e-09
SNe51 33.98 68.06 4.150e-09
SNe52 52.12 97.14 4.376e-07
SNe53 113.59 105.47 1.424e-08
SNe54 300.64 58.46 5.643e-09
SNe55 128.70 84.98 2.453e-07
