Name Equatorial Polar BlueF GreenF RedF Parallax RadialVelocity Variable?
S107007 167.4865 39.1926 1.705e-18 2.819e-18 5.676e-18 0.0 102.69 0.0
S107008 167.5429 39.1685 2.3719999999999997e-22 4.986e-22 1.662e-21 0.0 107.42 0.0
S107009 167.6195 39.1534 1.1889999999999998e-22 2.597e-22 9.454999999999998e-22 0.0 108.17 0.0
S107010 167.5764 39.1979 7.247e-14 6.404e-14 3.654e-14 0.0 103.87 1.0
S107011 167.5381 39.1553 2.541e-15 4.498e-15 1.057e-14 0.0 103.43 0.0
S107012 167.5087 39.1692 2.863e-19 2.972e-19 2.349e-19 0.0 108.3 0.0
S107014 167.5655 39.127 3.438e-18 3.037e-18 1.748e-18 0.0 108.11 0.0
S107015 167.5711 39.177 1.8699999999999999e-22 3.919e-22 1.341e-21 0.0 103.77 0.0
S107016 167.5036 39.1968 2.684e-18 5.944e-18 2.154e-17 0.0 102.84 0.0
S107019 167.6209 39.2019 2.872e-21 4.544e-21 8.356e-21 0.0 103.76 0.0
S107020 167.5896 39.1857 1.064e-21 1.747e-21 3.65e-21 0.0 106.61 0.0
S107021 167.5341 39.1503 3.091e-19 3.212e-19 2.513e-19 0.0 104.47 0.0
S107022 167.5234 39.1452 1.017e-18 9.541e-19 6.217e-19 0.0 103.82 0.0
S107025 167.5721 39.201 2.139e-18 1.823e-18 9.563e-19 0.0 106.04 0.0
S107026 167.5354 39.1531 1.9620000000000002e-20 2.6800000000000002e-20 3.6870000000000006e-20 0.0 105.08 0.0
S107028 167.5724 39.1848 1.861e-19 1.984e-19 1.588e-19 0.0 103.52 0.0
S107029 167.5875 39.1938 9.143e-19 8.974e-19 6.216e-19 0.0 104.3 0.0
S107031 167.581 39.1623 1.6509999999999999e-22 3.564e-22 1.262e-21 0.0 106.76 0.0
S107032 167.5853 39.1436 2.116e-19 2.291e-19 1.951e-19 0.0 107.93 0.0
S107033 167.5619 39.1314 3.031e-18 2.622e-18 1.403e-18 0.0 104.5 0.0
S107035 167.5676 39.1841 1.381e-19 1.624e-19 1.644e-19 0.0 105.1 0.0
S107036 167.5751 39.2177 3.004e-19 3.066e-19 2.382e-19 0.0 102.95 0.0
S107037 167.5431 39.1893 1.584e-19 1.702e-19 1.474e-19 0.0 105.91 0.0
S107038 167.5822 39.1671 1.701e-19 1.857e-19 1.588e-19 0.0 104.18 0.0
S107039 167.5986 39.1559 2.165e-18 1.892e-18 1.051e-18 0.0 105.81 0.0
S107040 167.5973 39.1547 8.419e-18 6.542e-18 2.8e-18 0.0 105.15 0.0
S107041 167.5283 39.1564 9.117e-14 6.429e-14 2.325e-14 0.0 106.94 0.0
S107042 167.594 39.1487 8.885000000000001e-20 9.925000000000001e-20 9.406000000000001e-20 0.0 103.24 0.0
S107044 167.5315 39.1457 1.363e-13 1.034e-13 4.184e-14 0.0 107.85 0.0
S107045 167.5773 39.1409 2.233e-19 2.303e-19 1.745e-19 0.0 107.03 0.0
S107046 167.5825 39.1761 2.457e-21 4.112e-21 8.921e-21 0.0 107.52 0.0
S107049 167.5422 39.1893 1.363e-18 2.102e-18 3.838e-18 0.0 106.85 0.0
S107050 167.496 39.1708 2.573e-21 4.37e-21 9.443e-21 0.0 105.95 0.0
S107051 167.6308 39.1408 3.61e-18 6.354e-18 1.533e-17 0.0 107.74 0.0
S107053 167.5673 39.1558 3.615e-19 6.262e-19 1.413e-18 0.0 106.02 0.0
S107054 167.5937 39.1708 1.445e-17 1.138e-17 5.123e-18 0.0 103.21 1.0
S107055 167.6038 39.1651 2.557e-18 6.192e-18 2.814e-17 0.0 105.5 1.0
S107058 167.5636 39.1675 6.526e-20 7.948e-20 8.566000000000001e-20 0.0 108.29 0.0
S107059 167.6262 39.151 2.575e-19 2.676e-19 2.096e-19 0.0 108.23 0.0
S107060 167.5184 39.14 1.2760000000000001e-20 1.7130000000000002e-20 2.2990000000000003e-20 0.0 107.7 0.0
