Name Equatorial Polar PeakFlux(W)
SNe0001 230.89 51.29 7.112e-08
SNe0002 258.43 105.58 5.257e-08
SNe0003 343.69 78.60 3.726e-09
SNe0004 123.02 79.67 1.958e-09
SNe0005 299.85 103.89 5.880e-08
SNe0006 51.19 34.73 4.203e-08
SNe0007 268.61 93.75 3.375e-09
SNe0008 76.94 44.76 6.232e-08
SNe0009 156.58 140.67 3.807e-09
SNe0010 134.99 105.84 3.174e-09
SNe0011 227.80 16.99 6.098e-08
SNe0012 268.78 99.28 9.095e-10
SNe0013 336.43 38.07 4.609e-09
SNe0014 222.65 130.35 6.795e-05
SNe0015 190.73 125.36 3.080e-05
SNe0016 117.15 69.48 2.234e-08
SNe0017 304.24 99.77 3.801e-09
SNe0018 283.53 87.27 1.272e-08
SNe0019 287.71 84.39 7.781e-08
SNe0020 64.90 60.58 1.152e-08
SNe0021 356.90 79.76 2.219e-08
SNe0022 211.50 87.65 9.376e-09
SNe0023 341.79 55.81 1.371e-08
SNe0024 201.65 117.75 2.193e-05
SNe0025 165.72 48.87 3.708e-09
SNe0026 221.11 4.50 1.195e-08
SNe0027 114.73 75.85 1.194e-08
SNe0028 282.77 104.67 2.080e-08
SNe0029 36.62 154.73 8.814e-09
SNe0030 172.64 58.35 1.641e-09
SNe0031 296.61 150.20 3.097e-09
SNe0032 207.87 42.96 1.431e-09
SNe0033 50.24 84.65 1.376e-09
SNe0034 291.36 69.64 1.079e-08
SNe0035 3.24 111.86 1.935e-08
SNe0036 101.55 114.58 7.978e-09
SNe0037 201.63 86.88 5.251e-09
SNe0038 343.06 124.58 1.958e-06
SNe0039 127.06 162.46 1.584e-09
SNe0040 165.20 67.13 2.809e-09
SNe0041 157.41 140.35 3.783e-09
SNe0042 88.51 139.48 4.131e-09
SNe0043 347.38 125.08 2.183e-09
SNe0044 291.25 89.08 1.840e-08
SNe0045 55.66 22.39 2.258e-09
SNe0046 357.40 89.03 8.131e-09
SNe0047 89.58 23.92 1.066e-09
SNe0048 129.73 113.68 9.265e-08
SNe0049 212.32 95.06 1.334e-07
SNe0050 101.24 115.27 7.879e-09
SNe0051 146.10 75.40 3.464e-09
SNe0052 309.03 94.98 2.096e-09
SNe0053 274.00 44.58 7.193e-09
SNe0054 333.03 98.29 1.469e-08
SNe0055 4.17 83.24 2.873e-07
